Family	Axes	Values
Changa	wght	200-800
Comfortaa	wght	300-700
Crimson Pro	ital wght	0, 1 200-900
Dancing Script	wght	400-700
Dosis	wght	200-800
EB Garamond	ital wght	0, 1 400-800
Exo	ital wght	0, 1 100-900
Exo 2	ital wght	0, 1 100-900
Faustina	ital wght	0, 1 400-700
Fira Code	wght	300-700
Heebo	wght	100-900
Hepta Slab	wght	1-900
Inconsolata	wdth wght	50-200 200-900
Inter	slnt wght	-10-0 100-900
Josefin Sans	ital wght	0, 1 100-700
Jost	ital wght	0, 1 100-900
Jura	wght	300-700
Kreon	wght	300-700
Lemonada	wght	300-700
Literata	ital wght	0, 1 400-700
Lora	ital wght	0, 1 400-700
Manrope	wght	200-800
Manuale	ital wght	0, 1 400-700
Markazi Text	wght	400-700
Maven Pro	wght	400-900
Muli	ital wght	0, 1 200-900
Orbitron	wght	400-900
Oswald	wght	200-700
Playfair Display	ital wght	0, 1 400-900
Podkova	wght	400-800
Public Sans	ital wght	0, 1 100-900
Quicksand	wght	300-700
Roboto	wght	100-900
Roboto Slab	wght	100-900
Rokkitt	wght	100-900
Rosario	ital wght	0, 1 300-700
Ruda	wght	400-900
Spartan	wght	100-900
Vollkorn	ital wght	0, 1 400-900
Work Sans	ital wght	0, 1 100-900
Yanone Kaffeesatz	wght	200-700
